Poorva Bhaadhra,4,B,Suddha Dasami,SAT,21-Nov-15,
Revathi,4,E,Suddha Dwadasi,MON,23-Nov-15,
Bharani,1,B*,Suddha Thrayodasi,TUE,24-Nov-15,
Krutthika,1,B,Poornima,WED,25-Nov-15,
Rohini,1,M,Bahula Padyami,THUS,26-Nov-15,
Mrugasira,1,M,Bahula Vidhiya,FRI,27-Nov-15,
Aardhra,1,M,Bahula Thadhiya,SAT,28-Nov-15,
Pushyami,1,E,Bahula Panchami,MON,30-Nov-15,
Aasleesha,1,E,Bahula Shashti,TUE,1-Dec-15,
Magha,1,M,Bahula Saptami,WED,2-Dec-15,
Poorva Phalguni,1,B,Bahula Astami,THUS,3-Dec-15,
Poorva Phalguni,4,E,Bahula Navami,FRI,4-Dec-15,
Utthara Phalguni,4,M,Bahula Dasami,SAT,5-Dec-15,
Chitra,3,M,Bahula Ekadasi,MON,7-Dec-15,
Swathi,3,B,Bahula Dwadasi,TUE,8-Dec-15,
Visakha,3,B*,Bahula Thrayodasi,WED,9-Dec-15,
Anuradha,2,E,Bahula Chaturdhasi,THUS,10-Dec-15,
Jyeshta,2,M,Amaavaasya,FRI,11-Dec-15,
Moola,2,B,Suddha Padyami,SAT,12-Dec-15,
Utthara Aaashada,2,B,Suddha Thadhiya,MON,14-Dec-15,
Sravanam,2,B,Suddha Chavithi,TUE,15-Dec-15,
Dhanishta,2,M,Suddha Panchami,WED,16-Dec-15,
Sathabhisham,2,M,Suddha Shashti,THUS,17-Dec-15,
Poorva Bhaadhra,2,E,Suddha Saptami,FRI,18-Dec-15,
Utthara Bhaadra,2,E*,Suddha Astami,SAT,19-Dec-15,
Ashwani,3,M,Suddha Ekadasi,MON,21-Dec-15,
Bharani,3,E,Suddha Dwadasi,TUE,22-Dec-15,
Krutthika,4,B,Suddha Thrayodasi,WED,23-Dec-15,
Rohini,4,M,Suddha Chaturdhasi,THUS,24-Dec-15,
Mrugasira,4,M,Poornima,FRI,25-Dec-15,
Aardhra,4,M,Bahula Padyami,SAT,26-Dec-15,
Pushyami,4,M,Bahula Thadhiya,MON,28-Dec-15,
Aasleesha,4,M,Bahula Chavithi,TUE,29-Dec-15,
Magha,4,B,Bahula Panchami,WED,30-Dec-15,
Poorva Phalguni,3,E,Bahula Shashti,THUS,31-Dec-15,
Utthara Phalguni,3,M,Bahula Saptami,FRI,1-Jan-16,
Hastha,2,E*,Bahula Astami,SAT,2-Jan-16,
Swathi,1,E*,Bahula Dasami,MON,4-Jan-16,
Visakha,1,E,Bahula Ekadasi,TUE,5-Jan-16,
Anuradha,1,M,Bahula Dwadasi,WED,6-Jan-16,
Jyeshta,1,B,Bahula Thrayodasi,THUS,7-Jan-16,
Jyeshta,4,E*,Bahula Thrayodasi,FRI,8-Jan-16,
Moola,4,E,Bahula Chaturdhasi,SAT,9-Jan-16,
Utthara Aaashada,4,E,Suddha Padyami,MON,11-Jan-16,
Sravanam,4,E,Suddha Thadhiya,TUE,12-Jan-16,
Sathabhisham,1,B*,Suddha Chavithi,WED,13-Jan-16,
Poorva Bhaadhra,1,B,Suddha Panchami,THUS,14-Jan-16,
Utthara Bhaadra,1,M,Suddha Shashti,FRI,15-Jan-16,
Revathi,1,E,Suddha Saptami,SAT,16-Jan-16,
Bharani,2,B,Suddha Navami,MON,18-Jan-16,
Krutthika,2,E,Suddha Dasami,TUE,19-Jan-16,
Rohini,2,E,Suddha Ekadasi,WED,20-Jan-16,
Mrugasira,3,B*,Suddha Dwadasi,THUS,21-Jan-16,
Aardhra,3,B,Suddha Thrayodasi,FRI,22-Jan-16,
Punarvasu,3,B,Suddha Chaturdhasi,SAT,23-Jan-16,
Aasleesha,2,E*,Bahula Padyami,MON,25-Jan-16,
Magha,2,E,Bahula Vidhiya,TUE,26-Jan-16,
Poorva Phalguni,2,E,Bahula Thadhiya,WED,27-Jan-16,
Utthara Phalguni,2,B,Bahula Chavithi,THUS,28-Jan-16,
Hastha,1,E,Bahula Panchami,FRI,29-Jan-16,
Chitra,1,E,Bahula Shashti,SAT,30-Jan-16,
Swathi,4,E,Bahula Astami,MON,1-Feb-16,
Visakha,4,M,Bahula Navami,TUE,2-Feb-16,
Anuradha,4,B,Bahula Dasami,WED,3-Feb-16,
Jyeshta,3,E,Bahula Ekadasi,THUS,4-Feb-16,
Moola,3,E,Bahula Dwadasi,FRI,5-Feb-16,
Poorva Aashada,3,M,Bahula Thrayodasi,SAT,6-Feb-16,
Sravanam,3,M,Amaavaasya,MON,8-Feb-16,
Dhanishta,3,M,Suddha Padyami,TUE,9-Feb-16,
Sathabhisham,3,E,Suddha Vidhiya,WED,10-Feb-16,
Poorva Bhaadhra,4,M,Suddha Thadhiya,THUS,11-Feb-16,
Utthara Bhaadra,4,M,Suddha Chavithi,FRI,12-Feb-16,
Revathi,4,E,Suddha Panchami,SAT,13-Feb-16,
Krutthika,1,B,Suddha Astami,MON,15-Feb-16,
Rohini,1,M,Suddha Navami,TUE,16-Feb-16,
Mrugasira,1,M,Suddha Dasami,WED,17-Feb-16,
Aardhra,1,E,Suddha Ekadasi,THUS,18-Feb-16,
Punarvasu,1,E,Suddha Dwadasi,FRI,19-Feb-16,
Pushyami,1,E,Suddha Thrayodasi,SAT,20-Feb-16,
Magha,1,E,Poornima,MON,22-Feb-16,
Poorva Phalguni,1,E,Bahula Padyami,TUE,23-Feb-16,
Utthara Phalguni,1,B*,Bahula Vidhiya,WED,24-Feb-16,
Utthara Phalguni,4,E,Bahula Thadhiya,THUS,25-Feb-16,
Hastha,4,M,Bahula Chavithi,FRI,26-Feb-16,
Chitra,3,E*,Bahula Panchami,SAT,27-Feb-16,
Visakha,3,M,Bahula Shashti,MON,29-Feb-16,
Anuradha,2,E*,Bahula Saptami,TUE,1-Mar-16,
Jyeshta,2,M,Bahula Astami,WED,2-Mar-16,
Moola,2,M,Bahula Navami,THUS,3-Mar-16,
Poorva Aashada,2,M,Bahula Dasami,FRI,4-Mar-16,
Utthara Aaashada,2,M,Bahula Ekadasi,SAT,5-Mar-16,
Dhanishta,2,M,Bahula Thrayodasi,MON,7-Mar-16,
Sathabhisham,2,M,Bahula Chaturdhasi,TUE,8-Mar-16,
Poorva Bhaadhra,2,M,Amaavaasya,WED,9-Mar-16,
Utthara Bhaadra,2,E*,Suddha Vidhiya,THUS,10-Mar-16,
Revathi,3,B,Suddha Thadhiya,FRI,11-Mar-16,
Ashwani,3,M,Suddha Chavithi,SAT,12-Mar-16,
Krutthika,4,B*,Suddha Shashti,MON,14-Mar-16,
Rohini,4,M,Suddha Saptami,TUE,15-Mar-16,
Mrugasira,4,M,Suddha Astami,WED,16-Mar-16,
Aardhra,4,M,Suddha Navami,THUS,17-Mar-16,
Punarvasu,4,E,Suddha Dasami,FRI,18-Mar-16,
Pushyami,4,M,Suddha Ekadasi,SAT,19-Mar-16,
Magha,4,B,Suddha Thrayodasi,MON,21-Mar-16,
Poorva Phalguni,3,E*,Suddha Chaturdhasi,TUE,22-Mar-16,
Utthara Phalguni,3,M,Poornima,WED,23-Mar-16,
Hastha,3,M,Bahula Padyami,THUS,24-Mar-16,
Chitra,2,E,Bahula Vidhiya,FRI,25-Mar-16,
Swathi,2,M,Bahula Thadhiya,SAT,26-Mar-16,
Anuradha,2,B*,Bahula Panchami,MON,28-Mar-16,
Jyeshta,2,M,Bahula Shashti,TUE,29-Mar-16,
Moola,1,B,Bahula Saptami,WED,30-Mar-16,
Poorva Aashada,1,B*,Bahula Astami,THUS,31-Mar-16,
Poorva Aashada,4,E*,Bahula Navami,FRI,1-Apr-16,
Utthara Aaashada,4,E,Bahula Dasami,SAT,2-Apr-16,
Sathabhisham,1,B*,Bahula Dwadasi,MON,4-Apr-16,
Poorva Bhaadhra,1,B,Bahula Thrayodasi,TUE,5-Apr-16,
Utthara Bhaadra,1,M,Bahula Chaturdhasi,WED,6-Apr-16,
Revathi,1,E,Amaavaasya,THUS,7-Apr-16,
Ashwani,2,B*,Suddha Padyami,FRI,8-Apr-16,
Bharani,2,M,Suddha Vidhiya,SAT,9-Apr-16,
Rohini,2,E,Suddha Chavithi,MON,11-Apr-16,
Mrugasira,3,B*,Suddha Panchami,TUE,12-Apr-16,
Aardhra,3,B,Suddha Saptami,WED,13-Apr-16,
Punarvasu,3,M,Suddha Astami,THUS,14-Apr-16,
Pushyami,3,M,Suddha Navami,FRI,15-Apr-16,
Aasleesha,3,M,Suddha Dasami,SAT,16-Apr-16,
Poorva Phalguni,2,E,Suddha Dwadasi,MON,18-Apr-16,
Utthara Phalguni,2,M,Suddha Thrayodasi,TUE,19-Apr-16,
Hastha,1,E,Suddha Chaturdhasi,WED,20-Apr-16,
Chitra,2,B,Suddha Chaturdhasi,THUS,21-Apr-16,
Swathi,2,M,Poornima,FRI,22-Apr-16,
Visakha,1,B,Bahula Padyami,SAT,23-Apr-16,
Anuradha,4,M,Bahula Thadhiya,MON,25-Apr-16,
Jyeshta,4,B,Bahula Chavithi,TUE,26-Apr-16,
Moola,3,E,Bahula Panchami,WED,27-Apr-16,
Poorva Aashada,3,E,Bahula Shashti,THUS,28-Apr-16,
Utthara Aaashada,3,M,Bahula Saptami,FRI,29-Apr-16,
Sravanam,3,M,Bahula Astami,SAT,30-Apr-16,
Sathabhisham,3,E,Bahula Dasami,MON,2-May-16,
Poorva Bhaadhra,4,B*,Bahula Ekadasi,TUE,3-May-16,
Utthara Bhaadra,4,B,Bahula Dwadasi,WED,4-May-16,
